                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.11245,                0.10583,               0.033916,                      0,                0.13986,                0.10615,               0.040577,              0.0093367,                 0.1162,                0.11732,               0.036985,               0.011138,               0.096738,               0.051792,               0.028074,                      0,                 0.0802,                 0.0022,                 0.0022
                      1,               0.077873,               0.041734,               0.036803,                      0,                0.22723,                0.27374,                0.15481,               0.041784,                0.32121,                 0.3146,                0.21408,               0.080105,               0.086384,               0.036361,               0.020761,                      0,               0.059491,              0.0044911,              0.0044911
                      2,               0.067415,               0.031541,               0.029771,                      0,                0.35217,                0.36872,                0.25291,                0.11918,                0.35666,                0.38547,                0.28323,                0.15337,               0.076624,                0.02915,               0.019608,                      0,               0.038773,              0.0067731,              0.0067731
                      3,               0.063355,                0.02823,               0.026042,                      0,                0.35685,                0.41341,                0.31178,                0.12507,                0.37058,                0.43017,                0.33198,                0.16285,               0.067255,               0.028245,               0.018435,                      0,               0.018046,              0.0090459,              0.0090459
                      4,               0.057493,               0.028372,               0.024577,                      0,                0.40493,                0.52841,                0.41345,                0.15846,                0.44602,                0.50838,                 0.4355,                0.23974,               0.060258,               0.029286,               0.017796,                      0,              0.0099208,              0.0099208,              0.0099208
                      5,               0.049795,               0.026884,               0.023212,                      0,                0.53397,                 0.5441,                0.49078,                0.19191,                0.55673,                0.56835,                0.52621,                0.28821,               0.055933,               0.036014,               0.030582,                      0,              0.0099208,              0.0099208,              0.0099208
                      6,               0.044098,               0.027097,               0.022327,                      0,                0.52765,                0.53073,                0.48652,                0.24002,                0.52283,                0.53631,                0.48957,                0.25136,               0.054215,                0.03468,               0.019247,                      0,               0.009901,               0.009901,               0.009901
                      7,               0.043561,                0.02686,               0.020943,                      0,                0.60044,                0.70521,                0.66007,                0.38044,                0.68889,                0.61453,                0.66056,                0.40469,                0.04011,               0.024987,               0.016087,                      0,              0.0098812,              0.0098812,              0.0098812
                      8,               0.041204,               0.026578,               0.020984,                      0,                0.74442,                0.55307,                 0.6472,                0.30153,                0.71445,                0.59218,                0.67855,                0.40486,               0.046997,               0.029549,               0.017406,                      0,              0.0098614,              0.0098614,              0.0098614
                      9,               0.040729,               0.025155,               0.019648,                      0,                  0.702,                0.57542,                0.61372,                0.34691,                0.69908,                0.57542,                0.60771,                0.37689,                0.04736,               0.033665,               0.018429,                      0,              0.0098416,              0.0098416,              0.0098416
                     10,                0.03835,               0.024726,               0.020357,                      0,                0.68057,                0.55307,                0.59848,                0.27767,                0.64762,                0.56471,                0.60536,                0.34125,               0.046034,               0.026839,               0.015736,                      0,              0.0098218,              0.0098218,              0.0098218
                     11,               0.037811,               0.025157,                0.01954,                      0,                0.70468,                0.64246,                0.64443,                0.38449,                0.72251,                0.64005,                0.64299,                0.38233,               0.039475,               0.028078,               0.014932,                      0,               0.009802,               0.009802,               0.009802
                     12,               0.035434,               0.023432,                 0.0186,                      0,                0.59564,                0.60335,                0.59356,                0.30117,                0.61385,                0.62011,                 0.6141,                0.39958,               0.047751,               0.032569,               0.017525,                      0,              0.0097822,              0.0097822,              0.0097822
                     13,                0.03695,               0.023222,               0.019756,                      0,                 0.8117,                 0.6502,                0.71765,                0.45802,                0.81867,                0.65579,                0.72159,                0.48391,               0.036599,               0.025281,               0.013413,                      0,              0.0097624,              0.0097624,              0.0097624
                     14,               0.035978,               0.023761,               0.019391,                      0,                0.83672,                0.63128,                0.67647,                0.41642,                0.81803,                0.60894,                0.65757,                0.41509,               0.035886,               0.025477,               0.015135,                      0,              0.0097426,              0.0097426,              0.0097426
                     15,               0.034634,               0.023543,               0.017641,                      0,                0.91277,                0.65922,                0.79259,                0.43548,                0.91277,                0.65922,                0.78294,                0.46357,                0.03829,               0.024121,                0.01207,                      0,              0.0097228,              0.0097228,              0.0097228
                     16,               0.034302,               0.021911,               0.018327,                      0,                0.83424,                0.71508,                0.77812,                0.50518,                0.84075,                0.72067,                0.77792,                0.53562,               0.035262,               0.022063,               0.012497,                      0,               0.009703,               0.009703,               0.009703
                     17,                0.03435,               0.022335,               0.017226,                      0,                 0.8289,                0.71508,                0.75882,                0.47512,                0.83567,                0.72067,                0.76804,                0.56017,               0.035942,               0.022411,                0.01265,                      0,              0.0096832,              0.0096832,              0.0096832
                     18,               0.034157,               0.021981,               0.016852,                      0,                0.90088,                0.73743,                0.82298,                0.51746,                0.89057,                0.73184,                0.81205,                0.53821,               0.035637,               0.022967,               0.011635,                      0,              0.0096634,              0.0096634,              0.0096634
                     19,               0.031649,               0.022858,               0.018201,                      0,                0.85259,                0.73184,                0.79297,                0.53512,                 0.8596,                0.73743,                 0.7903,                0.54428,               0.031839,               0.021995,                0.01176,                      0,              0.0096436,              0.0096436,              0.0096436
                     20,                0.03241,               0.022297,               0.017892,                      0,                0.78601,                0.75978,                0.76238,                0.51361,                0.78601,                0.75978,                0.75868,                0.52103,               0.034929,               0.024292,               0.013106,                      0,              0.0096238,              0.0096238,              0.0096238
                     21,               0.031992,               0.020519,               0.016534,                      0,                0.82567,                0.74087,                0.77423,                0.50773,                0.82567,                0.74087,                 0.7701,                0.53619,               0.033719,               0.021641,                0.01271,                      0,               0.009604,               0.009604,               0.009604
                     22,               0.031437,               0.020998,               0.016008,                      0,                0.86773,                  0.733,                0.78636,                0.48969,                0.86112,                0.72741,                0.78055,                 0.5621,                0.03498,                0.02208,                0.01225,                      0,              0.0095842,              0.0095842,              0.0095842
                     23,               0.030914,               0.021493,               0.015809,                      0,                0.86029,                 0.6536,                0.76523,                0.51594,                0.79842,                0.68596,                0.75608,                0.53367,               0.032419,               0.023918,                0.01256,                      0,              0.0095644,              0.0095644,              0.0095644
                     24,               0.030382,               0.020913,               0.015016,                      0,                0.83403,                0.70185,                0.73857,                  0.468,                0.83403,                0.70185,                0.73371,                0.51605,               0.034775,               0.023666,               0.012338,                      0,              0.0095446,              0.0095446,              0.0095446
                     25,               0.029876,                0.02096,               0.016513,                      0,                0.86219,                0.65922,                0.74344,                0.47307,                0.85587,                0.65363,                 0.7343,                0.50555,               0.033666,               0.022701,               0.013741,                      0,              0.0095248,              0.0095248,              0.0095248
                     26,               0.031964,               0.021411,               0.016114,                      0,                0.82249,                 0.7486,                0.77786,                0.52406,                0.79159,                0.72067,                0.75979,                0.51684,               0.033183,               0.022528,               0.012145,                      0,               0.009505,               0.009505,               0.009505
                     27,               0.029314,               0.020576,               0.016141,                      0,                0.80805,                0.73184,                0.76798,                 0.5339,                 0.7968,                0.74485,                0.77062,                 0.5495,               0.031158,               0.020482,               0.011868,                      0,              0.0094852,              0.0094852,              0.0094852
                     28,               0.029259,               0.020013,               0.015667,                      0,                0.91251,                0.68715,                0.78531,                0.47983,                0.91103,                0.69832,                0.80096,                 0.5727,               0.034656,               0.021038,               0.012178,                      0,              0.0094654,              0.0094654,              0.0094654
                     29,               0.028614,               0.021033,               0.015861,                      0,                0.83066,                0.75978,                0.79679,                0.54189,                   0.82,                 0.7486,                0.79209,                 0.5525,               0.030416,               0.022327,               0.011961,                      0,              0.0094456,              0.0094456,              0.0094456
                     30,                0.02935,               0.019903,               0.016058,                      0,                 0.8413,                 0.7095,                0.77865,                0.51398,                0.84804,                0.71508,                0.78399,                0.56239,                0.03177,               0.021278,               0.011774,                      0,              0.0094258,              0.0094258,              0.0094258
                     31,               0.029091,               0.019838,               0.015082,                      0,                0.89873,                0.67039,                0.76395,                0.54034,                0.89352,                 0.6648,                0.75967,                0.53977,               0.031968,               0.023351,               0.012376,                      0,               0.009406,               0.009406,               0.009406
                     32,               0.028137,               0.019375,                0.01506,                      0,                0.89874,                0.69417,                0.79261,                0.54717,                0.90594,                0.69951,                0.79856,                0.58683,                0.03105,                0.02364,               0.012136,                      0,              0.0093862,              0.0093862,              0.0093862
                     33,               0.028683,               0.019294,               0.015885,                      0,                0.88573,                0.72067,                0.78309,                0.56475,                0.86748,                0.73143,                0.80046,                0.58272,               0.029074,               0.020905,               0.011599,                      0,              0.0093664,              0.0093664,              0.0093664
                     34,               0.028283,               0.019528,               0.013939,                      0,                0.87103,                0.75978,                 0.8092,                0.54923,                0.88159,                0.77095,                0.82207,                0.57257,               0.030904,               0.022139,               0.011243,                      0,              0.0093466,              0.0093466,              0.0093466
                     35,               0.028901,               0.018847,               0.015217,                      0,                0.87616,                0.75098,                0.79829,                0.55539,                0.88268,                0.75657,                0.81012,                0.56948,               0.030531,               0.021329,               0.010892,                      0,              0.0093268,              0.0093268,              0.0093268
                     36,               0.027749,               0.018728,               0.014603,                      0,                0.82344,                 0.7486,                0.79162,                0.56425,                0.83883,                  0.756,                0.80245,                0.56811,                0.02985,               0.019537,               0.010743,                      0,               0.009307,               0.009307,               0.009307
                     37,                0.02694,               0.018689,               0.014801,                      0,                0.89962,                0.75102,                0.80544,                0.56492,                0.89962,                0.75102,                0.80554,                0.55907,               0.029527,               0.019866,               0.011435,                      0,              0.0092872,              0.0092872,              0.0092872
                     38,                0.02782,               0.018763,               0.014735,                      0,                0.93282,                0.62055,                0.72091,                0.49522,                0.93282,                0.62055,                0.72141,                0.52824,               0.033864,               0.023225,               0.013399,                      0,              0.0092674,              0.0092674,              0.0092674
                     39,               0.025726,               0.018247,               0.014426,                      0,                0.92344,                0.67389,                 0.7645,                0.54225,                0.90298,                0.68715,                0.76453,                0.55988,               0.030466,               0.020817,               0.012281,                      0,              0.0092476,              0.0092476,              0.0092476
                     40,               0.026471,               0.018511,               0.014205,                      0,                  0.877,                0.73743,                0.80104,                0.56426,                  0.877,                0.73743,                0.81111,                0.57004,               0.030333,               0.019571,               0.010622,                      0,              0.0092278,              0.0092278,              0.0092278
