                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.097099,                0.07326,                0.03799,                      0,                0.25847,                0.34741,                0.22996,               0.067809,                0.28555,                0.34549,                0.25813,                0.09648,               0.081391,               0.037386,               0.024261,                      0,               0.070508,              0.0032768,              0.0032768
                      1,               0.062787,               0.033466,               0.029253,                      0,                0.51296,                0.49325,                 0.4375,                0.18271,                0.50953,                 0.5048,                0.45195,                0.24332,               0.060967,               0.031545,                0.01914,                      0,               0.040495,              0.0065971,              0.0065971
                      2,               0.056972,               0.030965,               0.026411,                      0,                0.35115,                0.50864,                0.37399,                0.16462,                0.37816,                0.46807,                0.37121,                0.18466,               0.054113,               0.035607,               0.025172,                      0,               0.010469,              0.0099041,              0.0099041
                      3,               0.049049,               0.030781,               0.025316,                      0,                0.70437,                0.60077,                0.61055,                0.27846,                0.71615,                0.60269,                0.62674,                0.37256,               0.048075,                  0.032,               0.023455,                      0,              0.0099406,              0.0099406,              0.0099406
                      4,               0.044543,               0.029007,               0.024766,                      0,                0.73186,                0.61036,                0.67282,                0.36178,                0.72675,                0.61228,                0.66944,                0.39979,               0.047626,               0.032821,               0.018566,                      0,              0.0099406,              0.0099406,              0.0099406
                      5,               0.041682,               0.028732,               0.023678,                      0,                0.81543,                0.68714,                0.76554,                0.40829,                0.80793,                0.67014,                 0.7494,                0.44651,               0.042782,               0.028133,               0.018532,                      0,              0.0099208,              0.0099208,              0.0099208
                      6,               0.039849,               0.028117,               0.024091,                      0,                0.79061,                0.65067,                0.73733,                0.46593,                0.78595,                0.64683,                0.72484,                0.45615,               0.037998,               0.028614,               0.018614,                      0,               0.009901,               0.009901,               0.009901
                      7,                0.03799,               0.027262,               0.022913,                      0,                0.82536,                0.65835,                0.75525,                0.43299,                0.82777,                0.66027,                0.75875,                 0.5183,               0.040825,               0.026594,               0.017859,                      0,              0.0098812,              0.0098812,              0.0098812
                      8,               0.038284,               0.027007,               0.022341,                      0,                0.87945,                0.70441,                0.79374,                0.50412,                0.87817,                0.70558,                0.78585,                0.51976,                0.03718,               0.026638,               0.016933,                      0,              0.0098614,              0.0098614,              0.0098614
                      9,               0.037289,               0.026262,               0.022104,                      0,                 0.8895,                0.65835,                0.76754,                0.52621,                0.87772,                0.66132,                0.76246,                0.51199,               0.037712,               0.025157,                0.01696,                      0,              0.0098416,              0.0098416,              0.0098416
                     10,               0.035885,               0.025955,               0.022032,                      0,                0.82728,                0.74468,                 0.8056,                0.54068,                 0.8249,                0.74145,                0.79564,                0.52229,               0.033964,               0.024965,               0.016614,                      0,              0.0098218,              0.0098218,              0.0098218
                     11,               0.034973,               0.024466,               0.020199,                      0,                0.88511,                0.71593,                0.81047,                0.51292,                0.88273,                0.71401,                0.79925,                0.52264,               0.036938,               0.024898,                0.01579,                      0,               0.009802,               0.009802,               0.009802
                     12,               0.033793,               0.024619,                0.02064,                      0,                0.87248,                0.69599,                0.79045,                0.53323,                0.86817,                0.68259,                0.77411,                0.50488,               0.036616,               0.026281,               0.016247,                      0,              0.0097822,              0.0097822,              0.0097822
                     13,               0.034229,               0.024428,               0.020399,                      0,                0.84575,                0.73665,                 0.8109,                0.54464,                0.84354,                0.73473,                0.80393,                0.55085,               0.033095,                0.02329,               0.016131,                      0,              0.0097624,              0.0097624,              0.0097624
                     14,               0.033327,               0.024268,               0.019847,                      0,                0.87336,                  0.728,                0.82109,                0.55043,                 0.8692,                0.72704,                0.80715,                0.53656,               0.033384,               0.022688,               0.015287,                      0,              0.0097426,              0.0097426,              0.0097426
                     15,               0.032887,               0.023739,               0.019714,                      0,                0.84218,                0.74771,                0.81866,                0.54172,                0.84645,                0.75121,                0.81585,                0.54459,                0.03601,               0.023839,               0.015942,                      0,              0.0097228,              0.0097228,              0.0097228
                     16,               0.032377,               0.023895,               0.020013,                      0,                0.82071,                 0.7556,                0.83167,                0.58407,                0.81367,                0.74597,                0.81934,                  0.593,               0.031676,               0.022564,               0.015766,                      0,               0.009703,               0.009703,               0.009703
                     17,                0.03275,               0.024046,               0.020076,                      0,                0.87274,                0.68522,                0.76989,                0.51089,                0.87655,                0.68138,                0.75101,                0.49012,               0.039349,               0.026115,               0.017136,                      0,              0.0096832,              0.0096832,              0.0096832
                     18,               0.032057,               0.022968,               0.019286,                      0,                  0.899,                0.75171,                0.83047,                0.58705,                0.89663,                0.74921,                0.81999,                0.55406,               0.032462,               0.023968,               0.015059,                      0,              0.0096634,              0.0096634,              0.0096634
                     19,               0.031569,                0.02254,               0.018989,                      0,                0.90502,                0.74856,                0.82406,                0.56691,                0.89345,                0.75048,                0.81362,                0.55777,               0.035849,               0.023452,               0.015266,                      0,              0.0096436,              0.0096436,              0.0096436
                     20,               0.030978,               0.021665,               0.017891,                      0,                0.84741,                0.78503,                0.84364,                0.60249,                0.84534,                0.78311,                0.83781,                0.58691,               0.030711,                0.02208,                0.01491,                      0,              0.0096238,              0.0096238,              0.0096238
                     21,               0.030601,               0.021877,                0.01764,                      0,                0.88279,                0.74088,                0.81003,                0.56822,                0.87821,                0.73704,                0.79886,                 0.5508,               0.032826,               0.022927,               0.015795,                      0,               0.009604,               0.009604,               0.009604
                     22,               0.030028,               0.021883,               0.018363,                      0,                0.90054,                0.72992,                0.82161,                0.58214,                0.89714,                0.71977,                0.80548,                0.56083,               0.033492,               0.022924,               0.015638,                      0,              0.0095842,              0.0095842,              0.0095842
                     23,               0.029793,                0.02223,               0.017699,                      0,                0.89116,                0.76392,                0.83938,                0.59642,                0.90003,                0.74664,                0.82709,                 0.5858,               0.032233,               0.023423,               0.015266,                      0,              0.0095644,              0.0095644,              0.0095644
                     24,               0.029458,               0.021632,               0.017554,                      0,                0.88661,                0.77735,                0.86604,                0.63054,                0.88226,                0.77669,                 0.8553,                0.58676,               0.030365,                0.02218,               0.014069,                      0,              0.0095446,              0.0095446,              0.0095446
                     25,               0.029347,                0.02172,               0.017801,                      0,                0.91338,                  0.762,                0.83929,                0.59871,                0.90955,                0.75816,                0.82672,                0.59791,               0.032292,               0.022052,                0.01479,                      0,              0.0095248,              0.0095248,              0.0095248
                     26,               0.029487,                0.02131,               0.017515,                      0,                0.92713,                0.74664,                0.84902,                0.61067,                0.92713,                0.74664,                0.84167,                0.59708,                0.03015,               0.021546,               0.014989,                      0,               0.009505,               0.009505,               0.009505
                     27,               0.028756,               0.021268,               0.017428,                      0,                0.89271,                0.79655,                 0.8636,                0.61374,                0.88462,                0.78887,                0.85063,                0.59494,               0.029936,               0.021377,               0.014124,                      0,              0.0094852,              0.0094852,              0.0094852
                     28,               0.028383,               0.020888,               0.017565,                      0,                0.90321,                0.77021,                0.86508,                0.63695,                0.89871,                0.76637,                0.85786,                0.61396,               0.029103,                0.02207,               0.014321,                      0,              0.0094654,              0.0094654,              0.0094654
                     29,               0.027106,               0.020294,               0.016524,                      0,                0.94103,                0.74088,                0.83863,                0.60822,                0.93107,                0.72592,                0.82333,                0.58431,               0.030211,               0.020995,               0.015041,                      0,              0.0094456,              0.0094456,              0.0094456
                     30,               0.027046,               0.020586,               0.016731,                      0,                0.92516,                0.73559,                0.83607,                 0.6097,                 0.9265,                0.72583,                0.81962,                0.58648,               0.031387,               0.021799,               0.014827,                      0,              0.0094258,              0.0094258,              0.0094258
                     31,               0.027726,               0.020614,                0.01664,                      0,                0.89421,                0.78503,                0.85773,                 0.6225,                0.90842,                 0.7616,                0.84364,                0.60007,                0.02864,               0.020813,                0.01451,                      0,               0.009406,               0.009406,               0.009406
                     32,               0.027917,               0.020632,               0.016382,                      0,                0.91608,                 0.7543,                0.85086,                0.62073,                0.93665,                0.74472,                0.83323,                0.59282,               0.030596,               0.022288,               0.013991,                      0,              0.0093862,              0.0093862,              0.0093862
                     33,               0.026896,               0.020509,               0.016426,                      0,                0.90629,                0.77966,                0.86179,                0.63089,                0.94033,                0.74088,                0.84557,                0.61498,                0.02906,               0.021946,               0.014431,                      0,              0.0093664,              0.0093664,              0.0093664
                     34,               0.027243,               0.020995,               0.016964,                      0,                0.90978,                0.77543,                0.86688,                0.64581,                0.91772,                0.77351,                0.85745,                0.62031,               0.028361,               0.020615,               0.014184,                      0,              0.0093466,              0.0093466,              0.0093466
                     35,               0.025999,               0.019936,               0.016136,                      0,                 0.9362,                0.76008,                 0.8542,                0.63562,                0.93108,                0.75624,                0.84496,                 0.6119,               0.029118,               0.021373,               0.014514,                      0,              0.0093268,              0.0093268,              0.0093268
                     36,               0.026363,               0.019788,               0.015585,                      0,                0.92073,                0.78887,                0.86836,                0.65698,                0.92966,                0.77735,                0.86125,                0.62798,               0.027724,               0.020692,               0.014416,                      0,               0.009307,               0.009307,               0.009307
