                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.10996,               0.094449,               0.035552,                      0,                0.05088,                0.18234,                0.02725,              0.0064469,               0.095016,                0.26488,               0.048908,               0.013256,               0.093762,               0.050448,               0.027738,                      0,               0.070508,              0.0032768,              0.0032768
                      1,               0.071771,               0.043359,               0.031714,                      0,                0.34407,                 0.3263,                0.26948,               0.083989,                0.40274,                0.33205,                0.30848,                0.13789,               0.068589,               0.038519,               0.022831,                      0,               0.040495,              0.0065971,              0.0065971
                      2,               0.068386,               0.040667,               0.028785,                      0,                0.37371,                 0.3762,                0.29232,                0.10454,                 0.3897,                0.35125,                0.28289,                0.12043,                 0.0714,               0.045296,               0.019574,                      0,               0.010469,              0.0099041,              0.0099041
                      3,               0.061262,               0.039625,               0.028774,                      0,                0.43003,                0.51056,                0.39997,                0.14122,                0.46415,                0.49712,                0.42455,                0.19203,                0.06067,               0.043381,                0.02551,                      0,              0.0099406,              0.0099406,              0.0099406
                      4,               0.055578,               0.038133,               0.028967,                      0,                0.52726,                0.47793,                0.45656,                0.19542,                0.51355,                0.46449,                 0.4373,                 0.2174,               0.061804,               0.043535,               0.022837,                      0,              0.0099406,              0.0099406,              0.0099406
                      5,               0.052172,               0.037173,               0.028209,                      0,                0.65911,                0.52699,                 0.5731,                0.25795,                0.66228,                 0.4952,                0.55417,                0.27861,               0.052524,               0.039368,               0.024328,                      0,              0.0099208,              0.0099208,              0.0099208
                      6,               0.050649,               0.036654,               0.028445,                      0,                0.60164,                0.51823,                 0.5169,                0.23646,                0.60078,                0.51631,                 0.5271,                0.25716,               0.053592,               0.035514,               0.020772,                      0,               0.009901,               0.009901,               0.009901
                      7,               0.048591,                0.03491,                0.02716,                      0,                0.72797,                0.55473,                 0.6268,                0.29196,                0.74169,                0.56814,                0.64738,                0.36485,                0.04982,               0.033909,               0.020744,                      0,              0.0098812,              0.0098812,              0.0098812
                      8,               0.047333,               0.034438,               0.026471,                      0,                0.69898,                0.60269,                0.64718,                0.34357,                0.71027,                0.57582,                0.63226,                0.35473,               0.046496,               0.035046,               0.020119,                      0,              0.0098614,              0.0098614,              0.0098614
                      9,               0.046994,                0.03398,               0.026718,                      0,                0.75115,                0.65468,                0.71836,                0.37093,                 0.7434,                0.64504,                0.69901,                0.41142,               0.045323,               0.031701,               0.018898,                      0,              0.0098416,              0.0098416,              0.0098416
