                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.10332,               0.090873,               0.037966,                      0,                0.25612,                0.34165,                 0.2107,               0.066958,                0.29354,                0.32438,                 0.2237,               0.091126,                0.07888,               0.046672,               0.024737,                      0,               0.070508,              0.0032768,              0.0032768
                      1,               0.068347,               0.038857,                0.03034,                      0,                0.28019,                0.41075,                0.28209,                0.10666,                0.31425,                0.41651,                0.30943,                0.15484,               0.071028,               0.037415,               0.020447,                      0,               0.040495,              0.0065971,              0.0065971
                      2,               0.062787,                 0.0355,               0.028257,                      0,                 0.5573,                0.51466,                0.51337,                0.23973,                0.55786,                0.49887,                0.50492,                0.28643,               0.053193,               0.035308,               0.020079,                      0,               0.010469,              0.0099041,              0.0099041
                      3,               0.054786,               0.034645,               0.027338,                      0,                0.63005,                0.55278,                0.54371,                0.22968,                0.62433,                0.54228,                0.53785,                0.31459,               0.054584,               0.035804,               0.024588,                      0,              0.0099406,              0.0099406,              0.0099406
                      4,               0.050525,               0.034472,               0.027297,                      0,                0.66216,                0.49904,                0.55179,                 0.2569,                0.64178,                0.48369,                0.52764,                0.26859,               0.054853,               0.042961,               0.020565,                      0,              0.0099406,              0.0099406,              0.0099406
                      5,               0.046325,               0.032211,               0.025987,                      0,                0.62202,                0.61278,                 0.6028,                0.32053,                0.61433,                0.60269,                0.58839,                0.34828,               0.046902,               0.034293,               0.020982,                      0,              0.0099208,              0.0099208,              0.0099208
                      6,               0.045224,               0.031369,               0.025306,                      0,                0.65075,                0.60083,                0.65563,                0.34558,                0.72469,                0.56238,                0.64825,                0.39694,               0.046655,               0.032695,               0.019998,                      0,               0.009901,               0.009901,               0.009901
                      7,               0.043664,               0.031276,               0.025181,                      0,                 0.7472,                0.70346,                0.74254,                0.40547,                0.74372,                0.69098,                 0.7306,                0.42386,               0.044195,               0.031516,               0.018246,                      0,              0.0098812,              0.0098812,              0.0098812
                      8,               0.042831,               0.030255,               0.024537,                      0,                0.79672,                0.62956,                0.70352,                0.41137,                0.78705,                0.63135,                0.68807,                0.43273,               0.042495,               0.031825,               0.019042,                      0,              0.0098614,              0.0098614,              0.0098614
                      9,               0.041195,               0.029324,               0.023868,                      0,                 0.7736,                 0.6334,                0.71367,                 0.4386,                 0.7736,                 0.6334,                0.70764,                0.45332,               0.041528,               0.029301,                0.01856,                      0,              0.0098416,              0.0098416,              0.0098416
