                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.093877,               0.073686,               0.038149,                      0,                0.41295,                0.46065,                0.38741,                 0.1585,                0.43489,                0.45106,                0.38265,                0.18724,               0.072186,               0.034302,               0.021772,                      0,               0.070508,              0.0032768,              0.0032768
                      1,               0.061812,               0.030198,               0.028764,                      0,                0.37945,                0.50864,                0.44235,                0.15185,                 0.5074,                 0.4952,                0.50281,                0.26583,               0.064345,               0.026058,               0.018361,                      0,               0.040495,              0.0065971,              0.0065971
                      2,               0.054924,               0.027391,               0.024961,                      0,                0.53393,                0.63532,                0.57614,                0.27824,                0.54625,                0.64235,                0.58369,                 0.3463,               0.048339,               0.029478,               0.021112,                      0,               0.010469,              0.0099041,              0.0099041
                      3,               0.047178,               0.028123,               0.023595,                      0,                0.73574,                0.60919,                 0.6806,                0.38603,                0.73823,                0.61036,                0.68439,                0.43406,               0.042827,               0.028548,               0.018874,                      0,              0.0099406,              0.0099406,              0.0099406
                      4,               0.042041,               0.026958,               0.023561,                      0,                0.78037,                0.69674,                0.76359,                0.47997,                0.74647,                0.70641,                0.75488,                0.51294,                0.03976,               0.027151,               0.017145,                      0,              0.0099406,              0.0099406,              0.0099406
                      5,               0.040505,               0.026679,               0.022205,                      0,                0.75041,                0.67179,                0.70337,                0.43471,                0.75041,                0.67179,                0.69819,                 0.4379,               0.040514,               0.024927,               0.020337,                      0,              0.0099208,              0.0099208,              0.0099208
                      6,               0.037872,               0.026519,               0.023085,                      0,                0.80986,                0.69866,                0.76622,                0.47338,                0.80643,                0.69098,                0.75351,                0.47632,                 0.0389,               0.027369,               0.017377,                      0,               0.009901,               0.009901,               0.009901
                      7,               0.037016,                0.02552,               0.021543,                      0,                0.80953,                0.69866,                0.76839,                0.49962,                0.82409,                0.70441,                0.77506,                0.55127,               0.039404,                0.02495,               0.016537,                      0,              0.0098812,              0.0098812,              0.0098812
                      8,               0.036361,               0.025253,               0.021094,                      0,                0.78647,                0.64107,                0.72312,                0.45772,                0.78411,                0.63916,                0.71576,                 0.4847,               0.039854,               0.026627,               0.019173,                      0,              0.0098614,              0.0098614,              0.0098614
                      9,               0.035799,                0.02438,               0.020789,                      0,                 0.8512,                0.72745,                0.77881,                0.52978,                0.84765,                0.72553,                0.76839,                 0.5179,               0.038472,               0.024413,               0.015704,                      0,              0.0098416,              0.0098416,              0.0098416
                     10,               0.034645,               0.024131,               0.020409,                      0,                0.85051,                0.74664,                 0.8186,                0.56828,                0.83359,                0.75432,                0.81195,                0.55747,               0.032895,               0.022791,               0.016069,                      0,              0.0098218,              0.0098218,              0.0098218
                     11,               0.032998,                0.02324,               0.019109,                      0,                0.87443,                0.70837,                0.80434,                0.53878,                0.88629,                0.68818,                0.78448,                0.52506,               0.036002,               0.023614,               0.015894,                      0,               0.009802,               0.009802,               0.009802
                     12,                0.03296,               0.023263,               0.019575,                      0,                0.87896,                0.68138,                0.78478,                0.53193,                0.87469,                0.67562,                0.77261,                0.53468,                0.03727,               0.023697,               0.016114,                      0,              0.0097822,              0.0097822,              0.0097822
                     13,               0.032123,               0.022949,               0.018985,                      0,                0.82234,                0.72553,                0.79215,                0.52573,                0.82386,                0.72937,                0.78958,                0.57433,               0.035517,               0.025257,               0.017083,                      0,              0.0097624,              0.0097624,              0.0097624
                     14,                0.03164,               0.023338,               0.018647,                      0,                0.89008,                0.69942,                0.80885,                0.56019,                0.88268,                0.69317,                0.79657,                0.53597,               0.034166,               0.024347,               0.015636,                      0,              0.0097426,              0.0097426,              0.0097426
                     15,               0.030579,               0.022588,               0.018523,                      0,                0.84114,                 0.7428,                0.80716,                 0.5583,                0.90685,                0.68522,                0.79566,                0.56125,               0.034484,                0.02383,               0.016981,                      0,              0.0097228,              0.0097228,              0.0097228
                     16,               0.031526,               0.023266,               0.019017,                      0,                0.84843,                0.75207,                 0.8153,                0.57045,                 0.8441,                0.74823,                0.80502,                0.57526,               0.032226,               0.022136,               0.016249,                      0,               0.009703,               0.009703,               0.009703
                     17,               0.031074,               0.022711,               0.018823,                      0,                0.87934,                0.73896,                 0.8176,                0.56732,                0.88784,                0.73129,                0.80875,                0.56271,               0.033017,               0.022784,               0.016162,                      0,              0.0096832,              0.0096832,              0.0096832
                     18,               0.030369,               0.022258,                0.01844,                      0,                0.83738,                0.72361,                0.79519,                0.54564,                 0.8396,                0.72553,                0.78995,                 0.5206,               0.034024,               0.024533,               0.016449,                      0,              0.0096634,              0.0096634,              0.0096634
                     19,               0.029937,               0.022048,               0.018088,                      0,                0.87328,                0.76716,                0.84723,                0.58125,                0.89459,                0.74928,                0.83772,                0.56031,               0.033202,               0.021707,               0.014678,                      0,              0.0096436,              0.0096436,              0.0096436
                     20,               0.030137,               0.020955,               0.016911,                      0,                0.92028,                0.75624,                0.84774,                 0.6042,                0.92115,                 0.7524,                  0.837,                0.59422,               0.030685,               0.021711,               0.014459,                      0,              0.0096238,              0.0096238,              0.0096238
                     21,               0.028276,               0.021049,               0.016506,                      0,                0.91671,                 0.7394,                0.84647,                0.60965,                0.90943,                0.73233,                0.83306,                0.58153,               0.030879,               0.021887,               0.014847,                      0,               0.009604,               0.009604,               0.009604
                     22,               0.029401,               0.020861,               0.017067,                      0,                0.86965,                0.78114,                0.82831,                0.59749,                0.87084,                0.78311,                0.82482,                0.57732,               0.032555,               0.021462,                0.01487,                      0,              0.0095842,              0.0095842,              0.0095842
                     23,               0.028038,               0.020876,               0.016532,                      0,                0.92295,                 0.7428,                0.85128,                0.61179,                0.91818,                0.73896,                0.83951,                0.59934,                0.03075,               0.022135,               0.015046,                      0,              0.0095644,              0.0095644,              0.0095644
                     24,               0.028528,               0.020319,               0.016537,                      0,                0.86547,                0.81494,                0.86663,                0.64959,                0.85935,                0.80918,                0.85869,                0.60264,               0.029412,               0.020631,               0.013781,                      0,              0.0095446,              0.0095446,              0.0095446
                     25,               0.028532,               0.020639,               0.016492,                      0,                0.92738,                0.75984,                0.84974,                0.62462,                0.92673,                0.75263,                0.83768,                 0.6124,               0.031175,               0.020982,               0.013916,                      0,              0.0095248,              0.0095248,              0.0095248
                     26,               0.027846,               0.020048,               0.016328,                      0,                0.91423,                0.79787,                0.86691,                0.63791,                0.90573,                0.79298,                0.85812,                0.62712,               0.027988,               0.020383,               0.013802,                      0,               0.009505,               0.009505,               0.009505
                     27,               0.027018,               0.020137,               0.016296,                      0,                0.91064,                0.78238,                0.85881,                0.64769,                0.90033,                0.78019,                0.84325,                0.61316,               0.028419,               0.020649,               0.014134,                      0,              0.0094852,              0.0094852,              0.0094852
                     28,               0.027549,               0.019967,               0.016271,                      0,                0.89496,                0.76858,                0.85236,                0.64673,                0.89496,                0.76858,                0.84524,                0.62785,               0.028433,               0.020349,               0.014105,                      0,              0.0094654,              0.0094654,              0.0094654
                     29,               0.026029,                 0.0195,               0.015683,                      0,                0.93553,                0.78311,                0.85304,                0.63306,                0.92853,                0.77735,                0.84447,                0.62204,               0.029763,               0.020779,                0.01442,                      0,              0.0094456,              0.0094456,              0.0094456
                     30,               0.026189,               0.019664,               0.015604,                      0,                 0.8989,                0.77159,                0.85235,                0.62948,                0.94812,                0.73662,                0.84483,                0.61383,               0.029078,               0.019964,               0.015029,                      0,              0.0094258,              0.0094258,              0.0094258
                     31,               0.026042,               0.019358,               0.015538,                      0,                0.90626,                0.77932,                 0.8514,                0.64301,                0.89956,                0.77356,                0.83621,                0.61904,               0.028327,               0.020397,               0.014334,                      0,               0.009406,               0.009406,               0.009406
                     32,               0.026692,               0.019315,               0.015511,                      0,                0.91654,                  0.762,                0.86045,                0.64786,                 0.9228,                0.75715,                0.85336,                0.62679,               0.027262,               0.020846,               0.014416,                      0,              0.0093862,              0.0093862,              0.0093862
                     33,               0.026129,               0.019511,               0.015332,                      0,                0.91872,                  0.762,                0.84122,                0.63336,                0.90219,                0.74856,                0.82637,                0.59476,               0.028359,               0.020693,               0.015375,                      0,              0.0093664,              0.0093664,              0.0093664
                     34,               0.025527,               0.019458,                 0.0155,                      0,                0.86957,                0.78695,                0.85037,                0.64461,                0.86321,                0.78119,                0.84164,                 0.6122,               0.028586,               0.020444,               0.015356,                      0,              0.0093466,              0.0093466,              0.0093466
                     35,               0.025516,               0.018978,               0.015005,                      0,                0.90597,                0.75818,                 0.8663,                0.65101,                  0.926,                0.74088,                0.85288,                  0.616,                0.02782,               0.020359,               0.014173,                      0,              0.0093268,              0.0093268,              0.0093268
                     36,                0.02517,                0.01891,               0.014614,                      0,                 0.9487,                0.78084,                0.87051,                0.65211,                0.94213,                0.77543,                0.85862,                 0.6346,               0.026895,               0.019851,               0.015068,                      0,               0.009307,               0.009307,               0.009307
                     37,               0.024665,               0.018777,               0.014379,                      0,                0.90825,                0.77897,                0.84837,                0.63873,                0.89708,                 0.7696,                0.82974,                0.60603,               0.029322,               0.021335,               0.014765,                      0,              0.0092872,              0.0092872,              0.0092872
                     38,               0.024811,               0.018695,                0.01457,                      0,                0.92898,                0.76008,                  0.859,                0.66005,                 0.9269,                0.75816,                0.84586,                0.61782,               0.028418,                0.02048,               0.014617,                      0,              0.0092674,              0.0092674,              0.0092674
                     39,               0.023858,               0.018546,                0.01418,                      0,                0.89578,                0.80614,                0.86184,                0.65845,                0.89022,                0.80038,                0.85024,                0.61753,               0.027255,               0.020084,               0.014036,                      0,              0.0092476,              0.0092476,              0.0092476
                     40,               0.024141,               0.018204,                 0.0139,                      0,                0.91485,                0.80998,                0.87772,                0.65895,                 0.9106,                 0.8016,                0.87147,                0.63234,               0.027059,               0.019152,               0.013619,                      0,              0.0092278,              0.0092278,              0.0092278
                     41,                0.02382,               0.018322,               0.014224,                      0,                0.92041,                0.79905,                0.87854,                0.66144,                0.90912,                0.78695,                0.86011,                0.62713,               0.027402,               0.019566,               0.013528,                      0,               0.009208,               0.009208,               0.009208
                     42,               0.023839,               0.017694,               0.013813,                      0,                0.90855,                0.79655,                0.87018,                0.66569,                0.89715,                0.78687,                0.85829,                0.62245,               0.027877,               0.020102,               0.013675,                      0,              0.0091882,              0.0091882,              0.0091882
                     43,               0.022984,               0.018004,                0.01337,                      0,                0.90747,                0.78311,                0.85512,                0.65575,                0.91593,                0.77159,                0.84363,                0.64016,                0.02814,               0.020496,                0.01476,                      0,              0.0091684,              0.0091684,              0.0091684
